Organization Name,Organization Name URL,Industries,Description,Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Funding Date,Headquarters Location,Full Description
Weibo,https://www.crunchbase.com/organization/weibo,"Apps, Blogging Platforms, Communities, Computer, Social Media, Social Network, Software",Weibo is a social media platform for microblogging.,1001-5000,1286000000,USD,1286000000,2017-10-25,"Beijing, Beijing, China","Weibo is a social media platform for microblogging. It allows people to create, distribute, and discover Chinese-language content."
Tradeshift,https://www.crunchbase.com/organization/tradeshift,"B2B, Enterprise Software, Financial Services, FinTech, Procurement, SaaS, Transaction Processing",Tradeshift is a cloud-based business network connecting buyers and suppliers.,1001-5000,661000000,USD,661000000,2020-01-14,"San Francisco, California, United States","Tradeshift is a global business-to-business platform that helps companies run more efficiently, using cloud-based technology to improve processes like invoicing, workflow and supplier financing.  Tradeshift brings all companies, big and small, together to transact, connect and collaborate with each other. For suppliers, the company delivers free electronic invoicing, enabling faster payments and predictable cash flow. For enterprises, Tradeshift empowers them to work more easily and productively with their entire supply chain, anywhere in the world."
Funding Circle,https://www.crunchbase.com/organization/funding-circle,"Finance, Financial Services, FinTech, Lending",Funding Circle is a lending platform for small businesses.,501-1000,746417715,USD,746417715,2019-12-02,"London, England, United Kingdom","When Funding Circle was founded, they could see that businesses weren’t being given the finance to grow, while investors were making poor returns. They had a simple idea — let them support each other. By lending directly to businesses through Funding Circle, investors can now earn attractive returns to better provide for their future. Businesses get fast, easy access to funding to grow, create jobs, support local communities and drive the economy forward. They believe it’s better for everyone."
Hims,https://www.crunchbase.com/organization/hims,"E-Commerce, Health Care, Men's, Wellness","Hims is a wellness brand that helps the men get access to products for skin care, erectile dysfunction, and hair loss.",101-250,197000000,USD,197000000,2019-01-28,"San Francisco, California, United States","Hims is an e-commerce wellness brand made for men with products for skin care, erectile dysfunction, and hair loss. The company works with doctors to prescribe Finasteride and Sildenafil (active ingredient in Viagra) through the app or website. With a telemedicine approach, hims allows customers to get diagnosed and treated at a lower cost and with greater convenience.  Hims was incubated at San Francisco-based venture-builder, Atomic. In November 2017, the company raised $7 million in Series A funding from Thrive Capital, Forerunner Ventures, M.C. Ventures, SV Angel, Amity Supply, and Harry’s. In June 2018, hims raised $50 million in Series B funding. Institutional Venture Partners led the round which included Forerunner Ventures, Thrive Capital, Maverick Capital, and Redpoint Ventures.  Hims was founded in November 2017 after CEO Andrew Dudum was called out by his sister for having dry skin and breakouts. She ordered him a bunch of expensive products to help fix the issues and Dudum quickly realized that men didn’t have the same options as women when it came to purchasing wellness products. He set out to create a company that offered simple solutions for issues many guys face. In November 2017 hims was launched and nearly four months after it was reported that the company was worth $200 million."
Clearbanc,https://www.crunchbase.com/organization/clearbanc,"E-Commerce, Finance, Financial Services, FinTech, Software",Clearbanc provides growth capital for web-enabled businesses through its 20-minute term sheet.,51-100,119257014,USD,119257014,2019-07-31,"Toronto, Ontario, Canada","Clearbanc invests in entrepreneurs to help them grow their web-enabled businesses.  Clearbanc offers fast, affordable growth capital to eCommerce and B2B/SaaS companies. Our investments range from $10K - $10M. Launched in 2015, Clearbanc uses proprietary underwriting technology to offer more capital at quicker speeds and more flexible terms than other financing alternatives."
Lend Street Financial,https://www.crunchbase.com/organization/lend-street-financial-inc-,"Credit, Financial Services, FinTech",Lend Street is a lending platform for debt restructuring and refinancing.,11-50,149303264,USD,149303264,2018-06-07,"Oakland, California, United States","LendStreet mission is simple help people get out of debt, rebuild their credit, and get a fresh start.  They have partnerships within the financial sector which allow them to negotiate discounts on debts, which means they can pass on the discount to our customers and they in turn can get out of debt sooner, rebuild their credit and get on with their lives."
ClickUp,https://www.crunchbase.com/organization/clickup,"Enterprise Software, Productivity Tools, Software, Task Management","ClickUp is an app that brings tasks, docs, spreadsheets, goal tracking, resources, and an inbox, together in one place.",51-100,37500000,USD,37500000,2020-06-24,"San Diego, California, United States","ClickUp offers all-in-one customizable workplace productivity platform that serves all departments across an organization. ClickUp belongs to the latter camp, selling a $5 per month per user plan (billed annually), that people access to task management software, docs and wikis, chat, and integrations with a host of other popular tools. It’s a robust set of tools that is malleable depending on the task at hand."
Bitwise Industries,https://www.crunchbase.com/organization/bitwise-industries,"Coworking, Education, Real Estate, Software","Bitwise is a tech ecosystem, activating human potential to elevate underdog cities around the country.",101-250,27000000,USD,27000000,2019-06-19,"Fresno, California, United States","Bitwise Industries was founded in 2013 to move Fresno’s technology ecosystem forward by focusing on the key areas of education, execution, and place. Education is delivered via Geekwise Academy, an accelerated training program providing real-world technology skills to all ages. Bitwise Industries provides execution by way of its full-service, custom software development firm, Shift3 Technologies. And, the ever-growing place component is made up of Bitwise’s collaborative workplace, Hashtag, the technology hub, Bitwise South Stadium, and two new projects currently under construction in downtown Fresno, Bitwise|41 and Bitwise State Center Warehouse."
Bambee,https://www.crunchbase.com/organization/bambee,"Human Resources, SaaS, Software",Bambee allows small and medium-sized businesses to hire an HR manager for just $99 a month.,51-100,10500000,USD,10500000,2019-02-28,"Los Angeles, California, United States",Bambee allows small and medium-sized businesses to hire an HR manager for just $99 a month. Plus SMBs can access a free suite of powerful HR tools to stay compliant.
Fauna,https://www.crunchbase.com/organization/fauna,"Database, Developer Tools, Information Technology, Software","FaunaDB is a web-native GraphQL API that is accessible directly from a browser, mobile client or serverless function.",11-50,59609994,USD,59609994,2020-07-01,"San Francisco, California, United States","Fauna is a data api for client-serverless applications that facilitates rich clients with serverless backends by providing a web-native interface with support for GraphQL and custom business logic, frictionless integration with the serverless ecosystem, a no compromise multi-cloud architecture you can trust and grow with and total freedom from database operations. Innovators like Nextdoor and NVIDIA trust Fauna to power their applications. Backed by premier venture investors Madrona Venture Group, Addition Capital, and GV, Fauna is a 100% remote organization with an experienced leadership team hailing from Microsoft, Okta, Twitter, Elastic, and Oracle. For more information visit fauna.com or follow us at @fauna."
Permutive,https://www.crunchbase.com/organization/permutive,"Advertising, Publishing, SaaS, Software",Permutive is a publisher-focused data management platform.,51-100,30029067,USD,30029067,2020-07-08,"London, England, United Kingdom",Permutive is a publisher-focused data management platform. Permutive provides a SaaS data management platform that allows publishers to increase their targetable advertising and deliver ROI.
Pindrop,https://www.crunchbase.com/organization/pindrop-security,"Audio, Cloud Computing, Fraud Detection, Mobile, Retail Technology, Risk Management, Security, Software",Pindrop is a pioneer in voice security and authentication.,101-250,212799996,USD,212799996,2018-12-05,"Atlanta, Georgia, United States","Pindrop® solutions are leading the way to the future of voice by providing identity, security, and authentication for every voice interaction. Pindrop solutions protect some of the biggest banks, insurers, and retailers in the world using patented technology that extracts an unrivaled amount of intelligence from every call encountered. Pindrop solutions help detect fraudsters and authenticate callers, reducing fraud and operational costs, while improving customer experience and protecting brand reputation. Pindrop, a privately held company, headquartered in Atlanta, GA, was founded in 2011 and is venture-backed by Andreessen Horowitz, Citi Ventures, Felicis Ventures, CapitalG, GV, and IVP. For more information, please visit pindrop.com. "
Partners Group,https://www.crunchbase.com/organization/partners-group,"Finance, Financial Services, Venture Capital","Partners Group are a unique, global alternative asset manager with strong Swiss roots, proactively providing their international client.",1001-5000,500000000,USD,500000000,2015-03-06,"Baar, Zug, Switzerland","Partners Group are a unique, global alternative asset manager with strong Swiss roots, proactively providing their international client base with innovative, customized solutions. With CHF 19.2 billion in private equity assets under management, a global team of over 130 private equity professionals in seven offices and over 300 partnership investments led by over 200 general partners, Partners Group is one of the largest private equity asset managers worldwide."
goTenna,https://www.crunchbase.com/organization/gotenna,"Consumer Electronics, Hardware, Messaging, Mobile, Privacy, Software",goTenna is advancing universal access to connectivity by building the world's most intelligent and scalable mobile mesh networks.,11-50,40800000,USD,40800000,2019-06-18,"Brooklyn, New York, United States","goTenna is the world's leading mobile mesh networking company and provider of off-grid connectivity solutions for smartphones and other devices. goTenna's mesh networking protocol, Aspen Grove™, is embedded into lightweight, low-cost devices and paired with easy-to-use mobile apps enabling mobile, long-range connectivity even without cell, wifi, or satellite. goTenna’s mesh technology enables decentralized, programmable mobile infrastructure on a global scale in markets ranging from public sector to enterprise and IoT. The goTenna vision to create a resilient communications system was ignited during Hurricane Sandy in 2012, when approximately a third of cell towers and power stations were knocked out.  Based in Brooklyn, goTenna is backed by investors including Founders Fund, Union Square Ventures, Comcast Ventures, Collaborative Fund, and Bloomberg Beta."
Atlassian,https://www.crunchbase.com/organization/atlassian,"Collaboration, Developer Tools, Enterprise Software, SaaS, Software","Atlassian provides collaboration, development, and issue tracking software for teams.",1001-5000,210000000,USD,210000000,2014-04-08,"Sydney, New South Wales, Australia","Atlassian is a leading provider of collaboration, development, and issue tracking software for teams. With over 138,000 global customers (including 85 of the Fortune 100), we’re advancing the power of collaboration with products including Jira, Jira Service Desk, Jira Ops, Confluence, Bitbucket, Trello, and more. Driven by honest values, an amazing culture, and consistent revenue growth, we’re out to unleash the potential of every team."
Traveloka,https://www.crunchbase.com/organization/traveloka,"Big Data, In-Flight Entertainment, Search Engine, Travel",Traveloka is an online travel aggregator that helps customers choose and book their next travel location.,1001-5000,1170000000,USD,1170000000,2020-07-28,"Jakarta, Jakarta Raya, Indonesia",Traveloka is an online travel aggregator that helps customers choose and book their next travel location. Traveloka is an Indonesian flight search engine covering mostly domestic routes and airlines. The company is is expanding its reach by operating in six countries and experimenting with new endeavors that will create large impact in the markets and industries they touch.
Dun & Bradstreet,https://www.crunchbase.com/organization/dun-and-bradstreet-corporation,"B2B, Enterprise Software, Supply Chain Management",Dun & Bradstreet grows the most valuable relationships in business by uncovering truth and meaning from data.,5001-10000,375000000,USD,375000000,2019-02-11,"Short Hills, New Jersey, United States","Dun & Bradstreet (NYSE:DNB), the world’s leading source of global business information, knowledge and insight, has been enabling companies to Decide with Confidence for 171 years. D&B’s global commercial database contains more than 220 million business records. The database is enhanced by D&B’s proprietary DUNSRight® Quality Process, which transforms the enormous amount of data collected daily into decision-ready insight. Through the D&B Worldwide Network – an unrivaled alliance of D&B and leading business information providers around the world – customers gain access to the world’s largest and highest quality global commercial business information database. Customers use D&B Risk Management Solutions to mitigate risk, increase cash flow and drive increased profitability, D&B Sales & Marketing Solutions to analyse markets, locate prospects and increase revenue from new and existing customers; D&B Learning Solutions to facilitate professional growth and excellence among their executives and D&B Economic Analysis Group to derive pragmatic and solution-oriented analyses of strategic economic and business developments, thereby aiding informed decision making. D&B featured on FORTUNE Magazine's Most Admired Companies Industry List for four consecutive years (2006 -2009), ranking first in the Financial Data Services category. D&B ranked first in the areas of employee talent, financial soundness, long-term investment, quality of management and use of corporate assets. In 2011, D&B featured on the World’s Most Ethical Companies list in the Business Services category by Ethisphere. The World’s Most Ethical Companies designation recognizes companies that truly go beyond making statements about doing business “ethically” and translate those words into action."
Satellogic,https://www.crunchbase.com/organization/satellogic,"Network Hardware, Real Time, Satellite Communication",Satellogic will democratize access to space-based services by dramatically reducing the barriers to obtain real-time satellite data.,101-250,110000000,USD,110000000,2019-12-19,"Palo Alto, California, United States","Satellogic is the first company to develop a scalable earth observation platform with the ability to remap the entire planet at both high-frequency and high-resolution. The company's low-Earth-orbit satellite constellation, platform, and data science teams work together to deliver high-frequency, high resolution, end-to-end solutions at the right price point."
Symantec,https://www.crunchbase.com/organization/symantec,"Computer, Cyber Security, Information Technology, Security","Symantec provides security, storage, and systems management solutions that help consumers secure and manage their information.",10001+,1173000000,USD,1173000000,2018-08-16,"Mountain View, California, United States","Symantec provides security, storage and systems management solutions that help consumers secure and manage their information. The company operates through three segments: consumer security, enterprise security, and information management. The consumer security segment offers Norton-branded services that provide multi-layer security and identity protection on desktop and mobile operating systems to defend against online threats to individuals, families, and small businesses. The enterprise security segment offers secure socket layer certificates, authentication, mail and web security, data center security, data loss prevention, information security services, endpoint security and management, encryption, and mobile security services offerings. Symantec’s products and services help its customers to secure their confidential information wherever it resides in the network path from the user’s device to the data’s resting place. The information management segment focuses on backup and recovery, archiving and e-discovery, storage, and high availability solutions helping to ensure that its customers’ IT infrastructure and mission-critical applications are protected, managed, and available. The company serves individuals, households, and small businesses; small, medium, and large enterprises; and government and public sector customers. It markets and sells its products and related services through direct sales force, ecommerce platform, distributors, direct marketers, internet-based resellers, system builders, internet service providers, wireless carriers, retailers, original equipment manufacturers, and retail and online stores.  Symantec was founded by Gene Meltser and Steffen Low in 1982 and is based in Mountain View, California."
SocialChorus,https://www.crunchbase.com/organization/socialchorusinc,"Content, Information Technology, Mobile, SaaS, Software","SocialChorus is a workforce communications platform that enables large enterprises to reach, align, and mobilize every worker",101-250,47000000,USD,47000000,2019-12-02,"San Francisco, California, United States","A workforce communications platform that enables large enterprises to accelerate and accomplish their business initiatives by reaching, aligning, and mobilizing every worker."
Workhuman,https://www.crunchbase.com/organization/globoforce,"Human Resources, SaaS, Software",Workhuman® is the world’s fastest-growing integrated Social Recognition® and continuous performance management platform.,251-500,131476644,USD,131476644,2020-06-23,"Dublin, Dublin, Ireland","Globoforce is the leader in social recognition. Their innovative software-as-a-service offering powers recognition and rewards programs for the most admired companies, globally. Globoforce clients get results - dramatic improvements in employee engagement, retention and measurable adoption of corporate culture."
Razorpay,https://www.crunchbase.com/organization/razorpay,"Financial Services, FinTech, Payments, Software","Razorpay is a platform that enables businesses to accept, process, and disburse payments.",251-500,124700000,USD,124700000,2019-10-07,"Bangalore, Karnataka, India","Razorpay is a platform that enables businesses to accept, process and disburse payments with its product suite. It gives access to all payment modes including credit card, debit card, net banking, UPI and popular wallets including JioMoney, Mobikwik, Airtel Money, FreeCharge, Ola Money and PayZapp. The company was founded in 2014 and is headquartered in Bangalore, Karnataka."
PicsArt,https://www.crunchbase.com/organization/picsart,"Apps, Photo Editing, Photography, Social Media","PicsArt is an all-in-one photo & video editing app, powered by a creative community of more than 150M+ monthly active users and influencers.",251-500,45000000,USD,45000000,2016-04-20,"San Francisco, California, United States","PicsArt is the world's #1 creative platform and social editing app with more than 150 million monthly active creators. Every month, the PicsArt community creates, remixes and shares nearly one billion images, amassing one of the largest open-source collections of content in the world, including free-to-edit photos, stickers and more. PicsArt is available in 30 languages for free and as a subscription on all major platforms. Headquartered in San Francisco with offices in Yerevan, Armenia; Beijing; Tokyo; Moscow and Los Angeles, PicsArt is backed by Sequoia Capital, DCM Ventures, Insight Venture Partners, Siguler Guff and Company, EBRD and Capital300.  The 14th most downloaded app worldwide in 2019, PicsArt has worked with big brands such as Taylor Swift, Kim Kardashian, Jonas Brothers and Will Smith on fan community challenges that showcase the power of visual storytelling."
Google,https://www.crunchbase.com/organization/google,"Ad Network, Blogging Platforms, Collaboration, Email, Enterprise Software, Information Technology, Search Engine, Video Streaming",Google is a multinational corporation that specializes in Internet-related services and products.,10001+,36100000,USD,36100000,2010-01-01,"Mountain View, California, United States","Google is a multinational corporation that specializes in Internet-related services and products. The company’s product portfolio includes Google Search, which provides users with access to information online; Knowledge Graph that allows users to search for things, people, or places as well as builds systems recognizing speech and understanding natural language; Google Now, which provides information to users when they need it; Product Listing Ads that offer product image, price, and merchant information;  AdWords, an auction-based advertising program; AdSense, which enables websites that are part of the Google Network to deliver ads; Google Display, a display advertising network; DoubleClick Ad Exchange, a marketplace for the trading display ad space; and YouTube that offers video, interactive, and other ad formats.  Additionally, the company offers Android, an open-source mobile software platform; hardware products, including Chromebook, Chrome, Chromecast, and Nexus devices; Google+ , a social platform for sharing content with others; Google Play, a cloud-based digital entertainment store for apps, music, books, and movies; Google Drive, a place for users to create, share, collaborate, and keep their stuff; and Google Wallet, a virtual wallet for in-store contactless payments. Further, it provides Google Apps, which include Gmail, Calendar, and Google Sites that are built for people to work anywhere, anytime, on any device without loss of security or control; Google Maps Application Programming Interface; Google Earth Enterprise, a software solution for imagery and data visualization; Google App Engine, a Platform-as-a-service; Google Cloud Storage; Google BigQuery for real-time analytics; Google Cloud SQL for structured query language; and Google Compute Engine, an Infrastructure-as-a-service-Platform. It also offers mobile wireless devices, and related products and services. Google was founded by Larry Page and Sergey Brin in 1996 while they were Ph.D. students at Stanford University."
Vericool,https://www.crunchbase.com/organization/vericool,"Food and Beverage, Information Technology, Logistics, Manufacturing, Packaging Services, Transportation",Vericool is a developer of sustainable cold chain packaging.,11-50,24100000,USD,24100000,2020-03-31,"Livermore, California, United States","Vericool is a provider of cold chain packaging services intended to manufacture compostable coolers for sustainable shipment, storage and delivery. The company's services offer a line of packaging products that include customized, compostable, recyclable, sustainable and eco-friendly shipment boxes that have inbuilt temperature sensors for long-time storage, enabling logistics and warehouse operators to improve cold chain shipping of non-durable goods without depending on external freezers."
Lemonade,https://www.crunchbase.com/organization/lemonade,"Artificial Intelligence, Financial Services, Insurance, InsurTech",Lemonade operates as a full-stack insurance company powered by AI and behavioral economics and driven by social good.,251-500,480000000,USD,480000000,2019-07-09,"New York, New York, United States","Lemonade operates as a full-stack insurance company powered by AI and behavioral economics and driven by social good. It is a licensed insurance carrier, offering homeowners and renters insurance. Lemonade replaces brokers and bureaucracy with bots and machine learning, delivering zero paperwork and instant everything.  The company uses artificial intelligence and behavioral economics to set rates for the homes and renters it insures.  Lemonade was founded in 2015 and is headquartered in New York, NY, United States."
Adyen,https://www.crunchbase.com/organization/adyen,"Financial Services, FinTech, Mobile Apps, Mobile Payments, Payments","Adyen offers Adyen platform that integrates gateway, risk management, processing, acquiring, and settlement of payments.",501-1000,266000000,USD,266000000,2015-09-30,"Amsterdam, Noord-Holland, The Netherlands","Adyen operates as technology company in the Netherlands, Brazil, Singapore, the United Kingdom, Canada, Australia, South Korea, Hong Kong, Mexico, China, New Zealand, Malaysia, India, Japan, and the United States. It offers Adyen platform that integrates gateway, risk management, processing, acquiring, and settlement of payments for directly connecting merchants to Visa, Mastercard, and other payment methods, as well as sales channels, including its merchants' online, mobile, and point-of-sale channels.  Pieter van der Does founded Adyen in 2006. It has its headquarters in Amsterdam in the Netherlands."
Health IQ,https://www.crunchbase.com/organization/health-iq,"Health Care, Life Insurance, Pharmaceutical",Learn more about your Health IQ with the world's largest health quiz,101-250,136500000,USD,136500000,2019-05-08,"Mountain View, California, United States","Their mission: to increase health literacy around the world Over the last 100 years, the world’s language literacy has increased significantly. Their challenge over the next 100 years is to increase the world’s health literacy. They believe the best way to create change is to celebrate the people who are dedicated to their health, rather than harass the people who are not. The Health Conscious are the unsung heroes — the people who don’t get credit for their hard work. Help us spread health literacy to every corner of the world."
Cuyana,https://www.crunchbase.com/organization/cuyana,"E-Commerce, Fashion, Women's",Cuyana is a fashion brand that creates premium women's essentials.,11-50,31700000,USD,31700000,2019-02-05,"San Francisco, California, United States","Cuyana is an online fashion brand that believes in fewer, better things.  It creates apparel and accessories, designed with a classic, modern aesthetic, sourced from the world's highest quality materials and crafted to last a lifetime. By selling directly to customers rather than through other retailers, Cuyana is able to offer high-quality, timeless pieces at attainable prices. Cyana was founded in 2013 and is based in San Francisco, California."
iflix,https://www.crunchbase.com/organization/iflix,"Digital Entertainment, Internet, Video Streaming",Iflix is an online entertainment service for emerging markets.,501-1000,348000000,USD,348000000,2019-07-22,"Kuala Lumpur, Kuala Lumpur, Malaysia","iflix is the world’s leading entertainment service for emerging markets, offering users unlimited access to thousands of TV shows, movies and more. With a vast selection everyone’s favourite comedies, drama, K-drama, Turkish drama, Bollywood, Nollywood, cartoons, movies and more from Hollywood, The UK, Asia, The Middle East and Africa, iflix places the entertainment people want at their fingertips to either stream or download. For one low monthly fee, iflix subscribers can watch on their mobile phone, laptop, tablet, TV… wherever, whenever."
OpenLattice,https://www.crunchbase.com/organization/open-lattice,,We support public servants making more informed decisions using integrated data.,11-50,7600000,USD,7600000,2019-08-29,"Redwood City, California, United States",
Hootsuite,https://www.crunchbase.com/organization/hootsuite,"Advertising, Apps, Brand Marketing, Messaging, SaaS, Social Media","Hootsuite is the world's most widely used platform for managing social media. Over 15 million users, including 800+ of the Fortune 1000.",501-1000,299693624,USD,299693624,2018-03-15,"Vancouver, British Columbia, Canada","Hootsuite is the world's most widely used platform for managing social media. More than 15 million users, including 800+ of the Fortune 1000 companies, trust Hootsuite to manage their social media programs across multiple social networks from one integrated dashboard."
Wirecard,https://www.crunchbase.com/organization/wirecard,"Outsourcing, Payments, Software",Wirecard is fastest-growing digital platforms in the area of financial commerce.,1001-5000,900000000,EUR,1010132753,2019-04-23,"Munich, Bayern, Germany",Wirecard is a software and IT specialist for outsourcing and white label solutions for payment processing and issuing products. Since its foundation Wirecard has proved to be one of the leading international providers of outsourcing and white label solutions for electronic payment transactions.
MakeMyTrip.com,https://www.crunchbase.com/organization/makemytrip-com,"Internet, Transportation, Travel","MakeMyTrip.com is an online travel company providing holiday packages, travel guides, and booking services for flights, hotels and buses.",1001-5000,548000000,USD,548000000,2017-05-03,"Gurgaon, Haryana, India","MakeMyTrip (India) Pvt., Ltd. operates as an online travel company in India. It provides booking services for flights, hotels, and buses; and holiday packages and travel guides. The company was founded in 2000 and is headquartered in Gurgaon, India with additional offices in New Delhi, Mumbai, Nagpur, Nashik, Panjim, Ahmedabad, Aurangabad, Bangalore, Kolkata, Surat, Vadodara, Chennai, Ludhiana, Indore, Jaipur, Coimbatore, Pune, Chandigarh, Lucknow, Hyderabad, and Guwahati, India; New York, New York; and Sydney, Australia."
Contentful,https://www.crunchbase.com/organization/contentful,"Apps, Cloud Computing, Content, Developer Tools, SaaS",Contentful offers a headless content management system that helps organizations deliver content across channels.,251-500,159600000,USD,159600000,2020-06-17,"Berlin, Berlin, Germany","Contentful operates as a content platform to build digital experiences at scale. It enables enterprises to deliver omnichannel digital experiences with greater speed and scale than with a traditional CMS. Contentful unifies content in a single hub, structures it for use in any digital channel, and integrates seamlessly with hundreds of other tools through open APIs. Companies such as Spotify, Urban Outfitters, Jack in the Box, The British Museum, Xoom, Lenovo, and many others rely on Contentful’s content platform."
SimilarWeb,https://www.crunchbase.com/organization/similarweb,"Advertising, Analytics, Business Intelligence, Digital Marketing, Internet, Market Research",SimilarWeb offers research tools that helps users understand insights about any websites or mobile app.,251-500,112200000,USD,112200000,2017-07-25,"New York, New York, United States","SimilarWeb is the industry standard for understanding the digital world. SimilarWeb’s market intelligence solutions provide customers with insights to help them understand, track and grow their digital market share. With their insights businesses, agencies, marketers and analysts can benchmark performance against competitors, reveal competitors online strategy, discover new opportunities, identify emerging trends and understand consumer intent and journey. SimilarWeb has thousands of customers and works with some of the largest global brands including Google, L’Oreal, AirBnb and eBay. Their team is spread across 7 global offices and includes over 350 employees and counting."
Porter,https://www.crunchbase.com/organization/the-porter,"Internet, Logistics, Supply Chain Management",Porter helps businesses optimize their last mile delivery operations.,501-1000,32070087,USD,32070087,2020-04-11,"Bangalore, Karnataka, India","Porter aims to offer economical, efficient and reliable intra-city Transportation solutions to its customers. It helps e-commerce, FMCG, SMEs, traders, 3PLs, Courier, Cargo companies  optimize their logistics with the help of our dedicated fleet and in-house technology. Porter started off as a platform to address inefficiencies in the last mile logistics sector and transform the way goods are transported around cities, enabling lakhs of businesses move anything on-demand.  Our clientele includes ITC, Flipkart, Amazon, Furlenco, Delhivery, Aramex, Urban Ladder, Pepperfry, Parle Agro and many more."
Citi,https://www.crunchbase.com/organization/citi-2,"E-Learning, Events, Internet",CITi is an NPO supporting the ICT sector in Western Cape.,11-50,250000000,ZAR,20746538,2018-04-16,"Cape Town, NA - South Africa, South Africa","CITi is a non-profit organisation established in 1998 to develop and support the information technology cluster in Cape Town, Western Cape, in order to generate employment and prosperity through information technology for people from all backgrounds."
The Walt Disney Company,https://www.crunchbase.com/organization/the-walt-disney-company,Animation,The mission of The Walt Disney Company is to be one of the world’s leading producers and providers of entertainment and information.,10001+,11000000000,USD,11000000000,2020-04-13,"Lake Buena Vista, Florida, United States","The mission of The Walt Disney Company is to be one of the world’s leading producers and providers of entertainment and information. Using our portfolio of brands to differentiate our content, services and consumer products, we seek to develop the most creative, innovative and profitable entertainment experiences and related products in the world."
Inovio Pharmaceuticals,https://www.crunchbase.com/organization/inovio-pharmaceuticals,"Biotechnology, Health Care, Pharmaceutical, Therapeutics","Inovio is a biotech company focusing on bringing to market DNA medicines for diseases associated with HPV, cancer, and infectious diseases.",251-500,295883429,USD,295883429,2020-06-23,"Plymouth Meeting, Pennsylvania, United States","INOVIO is a biotechnology company focused on rapidly bringing to market precisely designed DNA medicines to treat, cure, and protect people from diseases associated with HPV, cancer, and infectious diseases. INOVIO is the first and only company to have clinically demonstrated that DNA medicine can be delivered directly into cells in the body via a proprietary smart device to produce a robust and tolerable immune response.  Specifically, INOVIO's lead candidate VGX-3100, currently in Phase 3 trials for precancerous cervical dysplasia, demonstrated it destroyed and cleared high-risk HPV 16 and 18 in a Phase 2b clinical trial. High-risk HPV is responsible for 70% of cervical cancer, 90% of anal cancer, and 69% of vulvar cancer."
Eight Sleep,https://www.crunchbase.com/organization/morphy,"Consumer Electronics, Health Care, Innovation Management, Product Design, Wellness",Eight Sleep is a sleep fitness company that leverages personal biometrics to restore individuals to their peak energy levels each morning.,11-50,70066621,USD,70066621,2019-11-06,"New York, New York, United States","Eight Sleep is the first sleep fitness company. It leverages innovation, technology, and personal biometrics to restore individuals to their peak energy levels each morning. Backed by leading Silicon Valley investors including Khosla Ventures and Y Combinator, it was named by Fast Company in 2018 as one of the Most Innovative Companies in Consumer Electronics. It was founded in 2014 and is headquartered in New York, United States."
Invitae,https://www.crunchbase.com/organization/invitae-corporation,"Biotechnology, Genetics, Health Care",Reinventing genetic testing by lowering the barriers for clinicians and patients to obtain diagnostic genetic information,501-1000,195502111,USD,195502111,2014-10-13,"San Francisco, California, United States","Invitae is a genetic information company whose mission is to bring genetic information into routine medical practice to improve the quality of healthcare for billions of people. Specializing in genetic diagnostics for hereditary disorders, Invitae is aggregating the world’s genetic tests into a single service with better quality, faster turnaround time, and a lower price than most single-gene diagnostic tests today. What’s our plan? It takes three steps: --Make genetic testing more affordable and accessible than ever before. --Build a secure and trusted genome management infrastructure. --Design a new global community for sharing genetic information to advance science and medicine. Today, we are reinventing genetic testing by lowering the barriers for clinicians and patients to obtain diagnostic genetic information. Together we can improve healthcare for billions of people."
Activ Surgical,https://www.crunchbase.com/organization/omniboros,"Artificial Intelligence, Health Care, Machine Learning, Medical Device, Robotics","Activ Surgical is a digital surgery company focused on improving surgical efficiency, accuracy, patient outcomes and accessibility",11-50,40400038,USD,40400038,2020-07-16,"Boston, Massachusetts, United States","Activ Surgical is building a hardware-agnostic platform to enable autonomous and collaborative surgery through the integration of computer vision, artificial intelligence and robotics. ActivEdge™ platform enables existing surgical systems, from scopes to robots, to visualize, characterize and track tissue, in real-time beyond today’s human capability."
Navistar,https://www.crunchbase.com/organization/navistar,"Automotive, Manufacturing, Transportation",Navistar International Corp. is a holding company whose individual units provide integrated and best-in-class transportation solutions.,10001+,256000000,USD,256000000,2016-09-06,"Warrenville, Illinois, United States","Navistar International Corp. is a holding company whose individual units provide integrated and best-in-class transportation solutions. Based in Warrenville, Ill., the company produces InternationalÂ® brand commercial trucks, mid-range diesel engines and IC brand school buses, and Workhorse brand chassis for motor homes and step vans. It is a private-label designer and manufacturer of diesel engines for the pickup truck, van and SUV markets. The company also provides truck and diesel engine parts and service. A wholly owned subsidiary offers financing services."
GoPro,https://www.crunchbase.com/organization/gopro,"3D Technology, Consumer Electronics, Hardware, Photography, Software, Video, Wearables",GoPro is a brand of personal cameras used in extreme action video photography.,251-500,288205000,USD,288205000,2012-12-20,"San Mateo, California, United States","GoPro is an activity image capture company. It is a brand of personal cameras used in extreme action video photography. GoPro produces HD HERO, a line of wearable and gear-mountable cameras and accessories, making it easy for people to capture and share their lives' most exciting moments in high definition. GoPro's products are sold through specialty retailers in more than 50 countries and online. Founded in 2002 by Nicholas Woodman, GoPro is headquartered in San Mateo, California, United States."
